utterance_1,utterance_2,utterance_3,utterance_4,label,original
"[2, 6655, 3035, 123, 123, 123, 3, 5800, 6536, 3, 5]","[2, 5562, 7840, 2931, 7181, 3201, 3, 5]","[2, 5727, 3230, 5522, 5699, 5853, 5591, 3, 5640, 7384, 5508, 6939, 5632, 3352, 3, 5]","[2, 5516, 7477, 2950, 3, 544, 3444, 6123, 1399, 6832, 3, 7108, 2992, 5494, 3, 5]","[2, 5485, 7002, 2932, 3, 5]",그럼 빡치지 [SEP] 
"[2, 5562, 7840, 2931, 7181, 3201, 3, 5]","[2, 5727, 3230, 5522, 5699, 5853, 5591, 3, 5640, 7384, 5508, 6939, 5632, 3352, 3, 5]","[2, 5516, 7477, 2950, 3, 544, 3444, 6123, 1399, 6832, 3, 7108, 2992, 5494, 3, 5]","[2, 5485, 7002, 2932, 3, 5]","[2, 865, 2937, 7385, 3, 5]",듣던 사람들이 [SEP] 
"[2, 5727, 3230, 5522, 5699, 5853, 5591, 3, 5640, 7384, 5508, 6939, 5632, 3352, 3, 5]","[2, 5516, 7477, 2950, 3, 544, 3444, 6123, 1399, 6832, 3, 7108, 2992, 5494, 3, 5]","[2, 5485, 7002, 2932, 3, 5]","[2, 865, 2937, 7385, 3, 5]","[2, 5513, 5564, 7270, 2999, 6134, 2923, 5551, 3, 5]",그래서 애들끼리만 있을때 하지 [SEP] 
"[2, 5516, 7477, 2950, 3, 544, 3444, 6123, 1399, 6832, 3, 7108, 2992, 5494, 3, 5]","[2, 5485, 7002, 2932, 3, 5]","[2, 865, 2937, 7385, 3, 5]","[2, 5513, 5564, 7270, 2999, 6134, 2923, 5551, 3, 5]","[2, 6114, 6729, 3, 935, 7030, 3, 5]",여기서 하는게 [SEP] 또 한다고 [SEP] 
"[2, 5485, 7002, 2932, 3, 5]","[2, 865, 2937, 7385, 3, 5]","[2, 5513, 5564, 7270, 2999, 6134, 2923, 5551, 3, 5]","[2, 6114, 6729, 3, 935, 7030, 3, 5]","[2, 5788, 5800, 2947, 5745, 3, 5]",그러면 얘기는 해야지 [SEP] 
"[2, 865, 2937, 7385, 3, 5]","[2, 5513, 5564, 7270, 2999, 6134, 2923, 5551, 3, 5]","[2, 6114, 6729, 3, 935, 7030, 3, 5]","[2, 5788, 5800, 2947, 5745, 3, 5]","[2, 5464, 123, 123, 123, 3, 1267, 5458, 1165, 2344, 3955, 3239, 2064, 3080, 5450, 6486, 2999, 3, 5]",그래... [SEP] 뭐 내가 막 참견할 일은 아니었지만 [SEP] 
"[2, 5513, 5564, 7270, 2999, 6134, 2923, 5551, 3, 5]","[2, 6114, 6729, 3, 935, 7030, 3, 5]","[2, 5788, 5800, 2947, 5745, 3, 5]","[2, 5464, 123, 123, 123, 3, 1267, 5458, 1165, 2344, 3955, 3239, 2064, 3080, 5450, 6486, 2999, 3, 5]","[2, 865, 3097, 1693, 5475, 6580, 3005, 6032, 3, 5]",듣기 싫으면 그럴수도 있지 [SEP] 
"[2, 6114, 6729, 3, 935, 7030, 3, 5]","[2, 5788, 5800, 2947, 5745, 3, 5]","[2, 5464, 123, 123, 123, 3, 1267, 5458, 1165, 2344, 3955, 3239, 2064, 3080, 5450, 6486, 2999, 3, 5]","[2, 865, 3097, 1693, 5475, 6580, 3005, 6032, 3, 5]","[2, 544, 5448, 2338, 5966, 3, 5619, 5747, 3, 5466, 7150, 3199, 436, 3274, 5737, 3, 5]",남ㅋㅋㅋㅋㅋㅋ 착햌ㅋㅋㅋㅋㅋㅋ [SEP] 그렇넼ㅋㅋㅋㅋ [SEP] 오늘 확실히 깨달았어 [SEP] 
"[2, 5788, 5800, 2947, 5745, 3, 5]","[2, 5464, 123, 123, 123, 3, 1267, 5458, 1165, 2344, 3955, 3239, 2064, 3080, 5450, 6486, 2999, 3, 5]","[2, 865, 3097, 1693, 5475, 6580, 3005, 6032, 3, 5]","[2, 544, 5448, 2338, 5966, 3, 5619, 5747, 3, 5466, 7150, 3199, 436, 3274, 5737, 3, 5]","[2, 539, 6295, 3, 5]",난 모르겠다 [SEP] 
"[2, 5464, 123, 123, 123, 3, 1267, 5458, 1165, 2344, 3955, 3239, 2064, 3080, 5450, 6486, 2999, 3, 5]","[2, 865, 3097, 1693, 5475, 6580, 3005, 6032, 3, 5]","[2, 544, 5448, 2338, 5966, 3, 5619, 5747, 3, 5466, 7150, 3199, 436, 3274, 5737, 3, 5]","[2, 539, 6295, 3, 5]","[2, 5631, 1375, 3055, 2338, 6936, 1375, 6990, 5603, 2931, 7462, 2931, 3, 539, 5458, 7671, 5484, 3, 5]",원래 본인 착한건 본인이 몰라야되는거야 [SEP] 난 내가 알고있어서 [SEP] 
"[2, 865, 3097, 1693, 5475, 6580, 3005, 6032, 3, 5]","[2, 544, 5448, 2338, 5966, 3, 5619, 5747, 3, 5466, 7150, 3199, 436, 3274, 5737, 3, 5]","[2, 539, 6295, 3, 5]","[2, 5631, 1375, 3055, 2338, 6936, 1375, 6990, 5603, 2931, 7462, 2931, 3, 539, 5458, 7671, 5484, 3, 5]","[2, 6394, 134, 5451, 3, 5]",그런거야?ㅋㅋㅋㅋ [SEP] 
"[2, 544, 5448, 2338, 5966, 3, 5619, 5747, 3, 5466, 7150, 3199, 436, 3274, 5737, 3, 5]","[2, 539, 6295, 3, 5]","[2, 5631, 1375, 3055, 2338, 6936, 1375, 6990, 5603, 2931, 7462, 2931, 3, 539, 5458, 7671, 5484, 3, 5]","[2, 6394, 134, 5451, 3, 5]","[2, 555, 3896, 2967, 6247, 2976, 3, 5551, 1169, 5488, 3, 2335, 4236, 3079, 2960, 7840, 3, 5478, 6655, 2932, 3, 5]",내맘에 안들면 [SEP] 하지 말라고 [SEP] 찡찡대고 화내 [SEP] 어떻게 알았지 [SEP] 
"[2, 539, 6295, 3, 5]","[2, 5631, 1375, 3055, 2338, 6936, 1375, 6990, 5603, 2931, 7462, 2931, 3, 539, 5458, 7671, 5484, 3, 5]","[2, 6394, 134, 5451, 3, 5]","[2, 555, 3896, 2967, 6247, 2976, 3, 5551, 1169, 5488, 3, 2335, 4236, 3079, 2960, 7840, 3, 5478, 6655, 2932, 3, 5]","[2, 5788, 7422, 5447, 3, 5562, 1844, 2934, 2975, 3055, 3411, 3, 336, 2960, 5487, 5648, 119, 119, 3, 1626, 7013, 5838, 6865, 3, 1792, 5558, 5693, 5499, 6506, 7485, 134, 3, 5]",그러면 안되지ㅋㅋ [SEP] 너가 양아치인걸 [SEP] 광고하면 안돼!! [SEP] 숨기고 살아야징 [SEP] 아 이미 취업해서 상관 없나? [SEP] 
"[2, 5631, 1375, 3055, 2338, 6936, 1375, 6990, 5603, 2931, 7462, 2931, 3, 539, 5458, 7671, 5484, 3, 5]","[2, 6394, 134, 5451, 3, 5]","[2, 555, 3896, 2967, 6247, 2976, 3, 5551, 1169, 5488, 3, 2335, 4236, 3079, 2960, 7840, 3, 5478, 6655, 2932, 3, 5]","[2, 5788, 7422, 5447, 3, 5562, 1844, 2934, 2975, 3055, 3411, 3, 336, 2960, 5487, 5648, 119, 119, 3, 1626, 7013, 5838, 6865, 3, 1792, 5558, 5693, 5499, 6506, 7485, 134, 3, 5]","[2, 5450, 123, 123, 123, 3, 5548, 5478, 5560, 7166, 5870, 3, 5]",아니... [SEP] 그게 어떻게 그렇게 되는건가 [SEP] 
"[2, 6394, 134, 5451, 3, 5]","[2, 555, 3896, 2967, 6247, 2976, 3, 5551, 1169, 5488, 3, 2335, 4236, 3079, 2960, 7840, 3, 5478, 6655, 2932, 3, 5]","[2, 5788, 7422, 5447, 3, 5562, 1844, 2934, 2975, 3055, 3411, 3, 336, 2960, 5487, 5648, 119, 119, 3, 1626, 7013, 5838, 6865, 3, 1792, 5558, 5693, 5499, 6506, 7485, 134, 3, 5]","[2, 5450, 123, 123, 123, 3, 5548, 5478, 5560, 7166, 5870, 3, 5]","[2, 5728, 6570, 3, 1970, 3151, 6040, 2934, 3, 1706, 3197, 3507, 3197, 1799, 3111, 3407, 3088, 3, 5]",인생 성공 [SEP] 우오아아아아ㅏ아 [SEP] 이모티콘 싸바싸바 알랑방구 [SEP] 
"[2, 555, 3896, 2967, 6247, 2976, 3, 5551, 1169, 5488, 3, 2335, 4236, 3079, 2960, 7840, 3, 5478, 6655, 2932, 3, 5]","[2, 5788, 7422, 5447, 3, 5562, 1844, 2934, 2975, 3055, 3411, 3, 336, 2960, 5487, 5648, 119, 119, 3, 1626, 7013, 5838, 6865, 3, 1792, 5558, 5693, 5499, 6506, 7485, 134, 3, 5]","[2, 5450, 123, 123, 123, 3, 5548, 5478, 5560, 7166, 5870, 3, 5]","[2, 5728, 6570, 3, 1970, 3151, 6040, 2934, 3, 1706, 3197, 3507, 3197, 1799, 3111, 3407, 3088, 3, 5]","[2, 5604, 5452, 3, 5835, 7496, 5448, 3, 5]",저거 진짜 [SEP] 귀여ㅜ엌ㅋㅋㅋㅋㅋ [SEP] 
"[2, 5788, 7422, 5447, 3, 5562, 1844, 2934, 2975, 3055, 3411, 3, 336, 2960, 5487, 5648, 119, 119, 3, 1626, 7013, 5838, 6865, 3, 1792, 5558, 5693, 5499, 6506, 7485, 134, 3, 5]","[2, 5450, 123, 123, 123, 3, 5548, 5478, 5560, 7166, 5870, 3, 5]","[2, 5728, 6570, 3, 1970, 3151, 6040, 2934, 3, 1706, 3197, 3507, 3197, 1799, 3111, 3407, 3088, 3, 5]","[2, 5604, 5452, 3, 5835, 7496, 5448, 3, 5]","[2, 6622, 5986, 3077, 3, 5]",익명이 최고다 [SEP] 
"[2, 5450, 123, 123, 123, 3, 5548, 5478, 5560, 7166, 5870, 3, 5]","[2, 5728, 6570, 3, 1970, 3151, 6040, 2934, 3, 1706, 3197, 3507, 3197, 1799, 3111, 3407, 3088, 3, 5]","[2, 5604, 5452, 3, 5835, 7496, 5448, 3, 5]","[2, 6622, 5986, 3077, 3, 5]","[2, 7823, 5448, 3, 5567, 238, 3077, 3, 5491, 3005, 7602, 3023, 3, 5]",마잨ㅋㅋㅋㅋㅋㅋ [SEP] 그런거 같다 [SEP] 이모티콘 이거도 귀여운디 [SEP] 
"[2, 5728, 6570, 3, 1970, 3151, 6040, 2934, 3, 1706, 3197, 3507, 3197, 1799, 3111, 3407, 3088, 3, 5]","[2, 5604, 5452, 3, 5835, 7496, 5448, 3, 5]","[2, 6622, 5986, 3077, 3, 5]","[2, 7823, 5448, 3, 5567, 238, 3077, 3, 5491, 3005, 7602, 3023, 3, 5]","[2, 5939, 7736, 6633, 3, 2392, 3097, 2929, 3135, 134, 3, 6855, 3007, 2921, 729, 3221, 2925, 3, 5]",겁나 옛날거같다 [SEP] 초기버전? [SEP] 그림체가 달랐어 [SEP] 
"[2, 5604, 5452, 3, 5835, 7496, 5448, 3, 5]","[2, 6622, 5986, 3077, 3, 5]","[2, 7823, 5448, 3, 5567, 238, 3077, 3, 5491, 3005, 7602, 3023, 3, 5]","[2, 5939, 7736, 6633, 3, 2392, 3097, 2929, 3135, 134, 3, 6855, 3007, 2921, 729, 3221, 2925, 3, 5]","[2, 6042, 2947, 5744, 2931, 2988, 3, 5]",그정도는 알아야죠 [SEP] 
"[2, 6622, 5986, 3077, 3, 5]","[2, 7823, 5448, 3, 5567, 238, 3077, 3, 5491, 3005, 7602, 3023, 3, 5]","[2, 5939, 7736, 6633, 3, 2392, 3097, 2929, 3135, 134, 3, 6855, 3007, 2921, 729, 3221, 2925, 3, 5]","[2, 6042, 2947, 5744, 2931, 2988, 3, 5]","[2, 1792, 6047, 123, 123, 123, 134, 3, 388, 7253, 3, 6073, 3017, 3005, 6723, 3097, 134, 3, 581, 2118, 3017, 2974, 2921, 134, 3, 5]",아 그런가...? [SEP] 그 뭐더라 [SEP] 자기주도 뭐시기? [SEP] 너 전주로가? [SEP] 
"[2, 7823, 5448, 3, 5567, 238, 3077, 3, 5491, 3005, 7602, 3023, 3, 5]","[2, 5939, 7736, 6633, 3, 2392, 3097, 2929, 3135, 134, 3, 6855, 3007, 2921, 729, 3221, 2925, 3, 5]","[2, 6042, 2947, 5744, 2931, 2988, 3, 5]","[2, 1792, 6047, 123, 123, 123, 134, 3, 388, 7253, 3, 6073, 3017, 3005, 6723, 3097, 134, 3, 581, 2118, 3017, 2974, 2921, 134, 3, 5]","[2, 1438, 2946, 4652, 2982, 2963, 3, 2034, 3282, 3400, 3697, 3111, 3, 5]",비나텍그거 [SEP] 은재선배랑 [SEP] 
"[2, 5939, 7736, 6633, 3, 2392, 3097, 2929, 3135, 134, 3, 6855, 3007, 2921, 729, 3221, 2925, 3, 5]","[2, 6042, 2947, 5744, 2931, 2988, 3, 5]","[2, 1792, 6047, 123, 123, 123, 134, 3, 388, 7253, 3, 6073, 3017, 3005, 6723, 3097, 134, 3, 581, 2118, 3017, 2974, 2921, 134, 3, 5]","[2, 1438, 2946, 4652, 2982, 2963, 3, 2034, 3282, 3400, 3697, 3111, 3, 5]","[2, 536, 127, 6046, 2999, 3, 799, 3506, 3002, 3035, 5772, 3058, 3, 5]",나 3만원만 [SEP] 돈좀줘엉어ㅓㅓ [SEP] 
"[2, 6042, 2947, 5744, 2931, 2988, 3, 5]","[2, 1792, 6047, 123, 123, 123, 134, 3, 388, 7253, 3, 6073, 3017, 3005, 6723, 3097, 134, 3, 581, 2118, 3017, 2974, 2921, 134, 3, 5]","[2, 1438, 2946, 4652, 2982, 2963, 3, 2034, 3282, 3400, 3697, 3111, 3, 5]","[2, 536, 127, 6046, 2999, 3, 799, 3506, 3002, 3035, 5772, 3058, 3, 5]","[2, 7578, 123, 123, 123, 3, 5459, 6152, 2931, 3, 5]",안대... [SEP] 나도 거지야 [SEP] 
"[2, 1792, 6047, 123, 123, 123, 134, 3, 388, 7253, 3, 6073, 3017, 3005, 6723, 3097, 134, 3, 581, 2118, 3017, 2974, 2921, 134, 3, 5]","[2, 1438, 2946, 4652, 2982, 2963, 3, 2034, 3282, 3400, 3697, 3111, 3, 5]","[2, 536, 127, 6046, 2999, 3, 799, 3506, 3002, 3035, 5772, 3058, 3, 5]","[2, 7578, 123, 123, 123, 3, 5459, 6152, 2931, 3, 5]","[2, 1331, 6046, 1316, 5545, 3, 5]",백만원 받잖아 [SEP] 
"[2, 1438, 2946, 4652, 2982, 2963, 3, 2034, 3282, 3400, 3697, 3111, 3, 5]","[2, 536, 127, 6046, 2999, 3, 799, 3506, 3002, 3035, 5772, 3058, 3, 5]","[2, 7578, 123, 123, 123, 3, 5459, 6152, 2931, 3, 5]","[2, 1331, 6046, 1316, 5545, 3, 5]","[2, 6065, 5515, 123, 123, 123, 3, 5]",아빠한테... [SEP] 
"[2, 536, 127, 6046, 2999, 3, 799, 3506, 3002, 3035, 5772, 3058, 3, 5]","[2, 7578, 123, 123, 123, 3, 5459, 6152, 2931, 3, 5]","[2, 1331, 6046, 1316, 5545, 3, 5]","[2, 6065, 5515, 123, 123, 123, 3, 5]","[2, 6413, 3016, 123, 123, 123, 3, 5]",아쉽당... [SEP] 
"[2, 7578, 123, 123, 123, 3, 5459, 6152, 2931, 3, 5]","[2, 1331, 6046, 1316, 5545, 3, 5]","[2, 6065, 5515, 123, 123, 123, 3, 5]","[2, 6413, 3016, 123, 123, 123, 3, 5]","[2, 6413, 6341, 3, 5]",아쉽냨ㅋㅋㅋㅋㅋㅋㅋ [SEP] 
"[2, 1331, 6046, 1316, 5545, 3, 5]","[2, 6065, 5515, 123, 123, 123, 3, 5]","[2, 6413, 3016, 123, 123, 123, 3, 5]","[2, 6413, 6341, 3, 5]","[2, 6413, 2932, 2957, 119, 3, 5]",아쉽지요! [SEP] 
"[2, 6065, 5515, 123, 123, 123, 3, 5]","[2, 6413, 3016, 123, 123, 123, 3, 5]","[2, 6413, 6341, 3, 5]","[2, 6413, 2932, 2957, 119, 3, 5]","[2, 581, 799, 1167, 5816, 3, 5]",너 돈 많자나 [SEP] 
"[2, 6413, 3016, 123, 123, 123, 3, 5]","[2, 6413, 6341, 3, 5]","[2, 6413, 2932, 2957, 119, 3, 5]","[2, 581, 799, 1167, 5816, 3, 5]","[2, 2587, 2940, 123, 123, 123, 3, 5]",텅장... [SEP] 
"[2, 6413, 6341, 3, 5]","[2, 6413, 2932, 2957, 119, 3, 5]","[2, 581, 799, 1167, 5816, 3, 5]","[2, 2587, 2940, 123, 123, 123, 3, 5]","[2, 5459, 2587, 2940, 3, 5]",나도 텅장 [SEP] 
"[2, 6413, 2932, 2957, 119, 3, 5]","[2, 581, 799, 1167, 5816, 3, 5]","[2, 2587, 2940, 123, 123, 123, 3, 5]","[2, 5459, 2587, 2940, 3, 5]","[2, 584, 5472, 799, 6975, 5816, 123, 123, 3, 6807, 2980, 2999, 134, 3, 1792, 3339, 2960, 2162, 5838, 5481, 3, 5]",넌 이제 돈 생기자나.. [SEP] 130만? [SEP] 아끼고 좀 살아ㅎㅎ [SEP] 
"[2, 581, 799, 1167, 5816, 3, 5]","[2, 2587, 2940, 123, 123, 123, 3, 5]","[2, 5459, 2587, 2940, 3, 5]","[2, 584, 5472, 799, 6975, 5816, 123, 123, 3, 6807, 2980, 2999, 134, 3, 1792, 3339, 2960, 2162, 5838, 5481, 3, 5]","[2, 600, 3628, 123, 123, 123, 3, 536, 2830, 3121, 3080, 5779, 2960, 2767, 3297, 6366, 3366, 3, 5]",네엥... [SEP] 나 현금은 없다고 한적 없는딩 [SEP] 
"[2, 2587, 2940, 123, 123, 123, 3, 5]","[2, 5459, 2587, 2940, 3, 5]","[2, 584, 5472, 799, 6975, 5816, 123, 123, 3, 6807, 2980, 2999, 134, 3, 1792, 3339, 2960, 2162, 5838, 5481, 3, 5]","[2, 600, 3628, 123, 123, 123, 3, 536, 2830, 3121, 3080, 5779, 2960, 2767, 3297, 6366, 3366, 3, 5]","[2, 5654, 6385, 5032, 3, 5]",얼마있는뎨/ [SEP] 
"[2, 5459, 2587, 2940, 3, 5]","[2, 584, 5472, 799, 6975, 5816, 123, 123, 3, 6807, 2980, 2999, 134, 3, 1792, 3339, 2960, 2162, 5838, 5481, 3, 5]","[2, 600, 3628, 123, 123, 123, 3, 536, 2830, 3121, 3080, 5779, 2960, 2767, 3297, 6366, 3366, 3, 5]","[2, 5654, 6385, 5032, 3, 5]","[2, 5868, 3, 7761, 2943, 3700, 3, 5]",미친ㅋㅋㅋㅋㅋㅋ [SEP] 맛있는거사줌 [SEP] 
"[2, 584, 5472, 799, 6975, 5816, 123, 123, 3, 6807, 2980, 2999, 134, 3, 1792, 3339, 2960, 2162, 5838, 5481, 3, 5]","[2, 600, 3628, 123, 123, 123, 3, 536, 2830, 3121, 3080, 5779, 2960, 2767, 3297, 6366, 3366, 3, 5]","[2, 5654, 6385, 5032, 3, 5]","[2, 5868, 3, 7761, 2943, 3700, 3, 5]","[2, 737, 3412, 5611, 3, 737, 3412, 737, 3412, 3, 1852, 4961, 3013, 6109, 5879, 119, 119, 3, 5]",당근 있어 [SEP] 당근 당근 [SEP] 어쩄든 기대할게!! [SEP] 
"[2, 600, 3628, 123, 123, 123, 3, 536, 2830, 3121, 3080, 5779, 2960, 2767, 3297, 6366, 3366, 3, 5]","[2, 5654, 6385, 5032, 3, 5]","[2, 5868, 3, 7761, 2943, 3700, 3, 5]","[2, 737, 3412, 5611, 3, 737, 3412, 737, 3412, 3, 1852, 4961, 3013, 6109, 5879, 119, 119, 3, 5]","[2, 737, 3412, 6012, 3160, 3, 6180, 3612, 5967, 7793, 2946, 5724, 2943, 5463, 3, 5]",당근 귀엽네 [SEP] 이모티콘익명이나도나중에사야지 [SEP] 
"[2, 5654, 6385, 5032, 3, 5]","[2, 5868, 3, 7761, 2943, 3700, 3, 5]","[2, 737, 3412, 5611, 3, 737, 3412, 737, 3412, 3, 1852, 4961, 3013, 6109, 5879, 119, 119, 3, 5]","[2, 737, 3412, 6012, 3160, 3, 6180, 3612, 5967, 7793, 2946, 5724, 2943, 5463, 3, 5]","[2, 6622, 5986, 3077, 3, 7714, 3198, 3417, 2925, 6063, 3, 5]",익명이 최고다 [SEP] ㅇㄴ르루어아아아 [SEP] 
"[2, 5868, 3, 7761, 2943, 3700, 3, 5]","[2, 737, 3412, 5611, 3, 737, 3412, 737, 3412, 3, 1852, 4961, 3013, 6109, 5879, 119, 119, 3, 5]","[2, 737, 3412, 6012, 3160, 3, 6180, 3612, 5967, 7793, 2946, 5724, 2943, 5463, 3, 5]","[2, 6622, 5986, 3077, 3, 7714, 3198, 3417, 2925, 6063, 3, 5]","[2, 1525, 5463, 6465, 3, 5]",사야지이ㅣ [SEP] 
"[2, 737, 3412, 5611, 3, 737, 3412, 737, 3412, 3, 1852, 4961, 3013, 6109, 5879, 119, 119, 3, 5]","[2, 737, 3412, 6012, 3160, 3, 6180, 3612, 5967, 7793, 2946, 5724, 2943, 5463, 3, 5]","[2, 6622, 5986, 3077, 3, 7714, 3198, 3417, 2925, 6063, 3, 5]","[2, 1525, 5463, 6465, 3, 5]","[2, 6235, 6235, 3, 5457, 2169, 3173, 3, 5]",좋다 좋다 [SEP] 너무 좋ㅇ [SEP] 
"[2, 737, 3412, 6012, 3160, 3, 6180, 3612, 5967, 7793, 2946, 5724, 2943, 5463, 3, 5]","[2, 6622, 5986, 3077, 3, 7714, 3198, 3417, 2925, 6063, 3, 5]","[2, 1525, 5463, 6465, 3, 5]","[2, 6235, 6235, 3, 5457, 2169, 3173, 3, 5]","[2, 6622, 5885, 3136, 581, 3134, 134, 3, 5687, 2084, 3945, 2934, 3, 5]",익명이 개발자 너임? [SEP] 왜케 잘팔아 [SEP] 
"[2, 6622, 5986, 3077, 3, 7714, 3198, 3417, 2925, 6063, 3, 5]","[2, 1525, 5463, 6465, 3, 5]","[2, 6235, 6235, 3, 5457, 2169, 3173, 3, 5]","[2, 6622, 5885, 3136, 581, 3134, 134, 3, 5687, 2084, 3945, 2934, 3, 5]","[2, 6622, 3244, 5518, 1376, 3141, 6860, 5545, 5481, 3, 5549, 1525, 3136, 3, 5605, 1525, 6627, 3, 6035, 3077, 5447, 3, 5]",익명이를 많이 볼수 있는거잖아ㅎㅎ [SEP] 얼른 사자 [SEP] 빨리 사ㅏㅏ [SEP] 아프다ㅋㅋ [SEP] 
"[2, 1525, 5463, 6465, 3, 5]","[2, 6235, 6235, 3, 5457, 2169, 3173, 3, 5]","[2, 6622, 5885, 3136, 581, 3134, 134, 3, 5687, 2084, 3945, 2934, 3, 5]","[2, 6622, 3244, 5518, 1376, 3141, 6860, 5545, 5481, 3, 5549, 1525, 3136, 3, 5605, 1525, 6627, 3, 6035, 3077, 5447, 3, 5]","[2, 7823, 5448, 3, 5811, 2943, 241, 3357, 3, 2182, 2943, 1311, 3456, 3, 5]",마잨ㅋㅋㅋ [SEP] 아주사 개커 [SEP] 주사 바늘 [SEP] 
"[2, 6235, 6235, 3, 5457, 2169, 3173, 3, 5]","[2, 6622, 5885, 3136, 581, 3134, 134, 3, 5687, 2084, 3945, 2934, 3, 5]","[2, 6622, 3244, 5518, 1376, 3141, 6860, 5545, 5481, 3, 5549, 1525, 3136, 3, 5605, 1525, 6627, 3, 6035, 3077, 5447, 3, 5]","[2, 7823, 5448, 3, 5811, 2943, 241, 3357, 3, 2182, 2943, 1311, 3456, 3, 5]","[2, 5980, 3242, 7747, 3, 5]",파이프라니까 [SEP] 
"[2, 6622, 5885, 3136, 581, 3134, 134, 3, 5687, 2084, 3945, 2934, 3, 5]","[2, 6622, 3244, 5518, 1376, 3141, 6860, 5545, 5481, 3, 5549, 1525, 3136, 3, 5605, 1525, 6627, 3, 6035, 3077, 5447, 3, 5]","[2, 7823, 5448, 3, 5811, 2943, 241, 3357, 3, 2182, 2943, 1311, 3456, 3, 5]","[2, 5980, 3242, 7747, 3, 5]","[2, 5980, 3242, 5448, 3, 5]",파이픜ㅋㅋㅋㅋ [SEP] 
