utterance_1,utterance_2,utterance_3,utterance_4,label,original
"[2, 536, 5452, 5704, 2976, 5949, 3, 7277, 2496, 5449, 3, 1268, 5899, 2921, 967, 3155, 3581, 3, 6094, 5500, 1383, 2950, 463, 6826, 3, 6297, 563, 3481, 2921, 1863, 5643, 5798, 5495, 5461, 3, 1563, 3312, 2990, 1579, 2941, 2967, 5712, 3159, 6826, 3, 6353, 563, 3481, 2921, 6055, 5567, 5488, 3, 1563, 3312, 2990, 3401, 2941, 2967, 5712, 5499, 5722, 2952, 3, 558, 408, 2943, 3022, 3, 5]","[2, 6235, 5448, 3, 6271, 6814, 1858, 2925, 3582, 3080, 2744, 5995, 2925, 2942, 377, 3751, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 1685, 5772, 3117, 388, 3136, 3007, 3, 5]","[2, 5451, 3161, 3340, 3, 5]","[2, 707, 6382, 6380, 2970, 3003, 3, 2849, 7638, 6341, 3, 5641, 5448, 3, 388, 4360, 7978, 6187, 5982, 3, 581, 5596, 2064, 6960, 5938, 3, 1796, 3906, 6403, 5596, 360, 3004, 3, 5]",니 프사 뭔일이냐 [SEP] 화사가냐ㅋㅋㅋㅋㅋ [SEP] 시발ㅋㅋㅋㅋㅋㅋㅋ [SEP] 그옷입고 회사가면 [SEP] 너 바로 일하라고 한다 [SEP] 앉힌 다음에 바로 굴림 [SEP] 
"[2, 6235, 5448, 3, 6271, 6814, 1858, 2925, 3582, 3080, 2744, 5995, 2925, 2942, 377, 3751, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 1685, 5772, 3117, 388, 3136, 3007, 3, 5]","[2, 5451, 3161, 3340, 3, 5]","[2, 707, 6382, 6380, 2970, 3003, 3, 2849, 7638, 6341, 3, 5641, 5448, 3, 388, 4360, 7978, 6187, 5982, 3, 581, 5596, 2064, 6960, 5938, 3, 1796, 3906, 6403, 5596, 360, 3004, 3, 5]","[2, 724, 3253, 5448, 3, 1257, 2979, 5955, 360, 2930, 5749, 3097, 5855, 3, 5]",닥쳐ㅋㅋㅋ [SEP] 물리적으로 굴려버리기 전에 [SEP] 
"[2, 1685, 5772, 3117, 388, 3136, 3007, 3, 5]","[2, 5451, 3161, 3340, 3, 5]","[2, 707, 6382, 6380, 2970, 3003, 3, 2849, 7638, 6341, 3, 5641, 5448, 3, 388, 4360, 7978, 6187, 5982, 3, 581, 5596, 2064, 6960, 5938, 3, 1796, 3906, 6403, 5596, 360, 3004, 3, 5]","[2, 724, 3253, 5448, 3, 1257, 2979, 5955, 360, 2930, 5749, 3097, 5855, 3, 5]","[2, 5965, 3122, 2186, 3572, 3, 6099, 5797, 1704, 3063, 3, 5]",사라져 줄께 [SEP] 고기 먹고 싶음 [SEP] 
"[2, 5451, 3161, 3340, 3, 5]","[2, 707, 6382, 6380, 2970, 3003, 3, 2849, 7638, 6341, 3, 5641, 5448, 3, 388, 4360, 7978, 6187, 5982, 3, 581, 5596, 2064, 6960, 5938, 3, 1796, 3906, 6403, 5596, 360, 3004, 3, 5]","[2, 724, 3253, 5448, 3, 1257, 2979, 5955, 360, 2930, 5749, 3097, 5855, 3, 5]","[2, 5965, 3122, 2186, 3572, 3, 6099, 5797, 1704, 3063, 3, 5]","[2, 5459, 6099, 7669, 6284, 134, 3, 5]",나도 고기 사주는거임? [SEP] 
"[2, 707, 6382, 6380, 2970, 3003, 3, 2849, 7638, 6341, 3, 5641, 5448, 3, 388, 4360, 7978, 6187, 5982, 3, 581, 5596, 2064, 6960, 5938, 3, 1796, 3906, 6403, 5596, 360, 3004, 3, 5]","[2, 724, 3253, 5448, 3, 1257, 2979, 5955, 360, 2930, 5749, 3097, 5855, 3, 5]","[2, 5965, 3122, 2186, 3572, 3, 6099, 5797, 1704, 3063, 3, 5]","[2, 5459, 6099, 7669, 6284, 134, 3, 5]","[2, 5562, 6099, 7669, 6284, 3, 123, 123, 123, 123, 123, 3, 6566, 326, 2944, 2965, 3, 6099, 1525, 3700, 134, 3, 5]",너가 고기 사주는거임 [SEP] ..... [SEP] 간다 공항을 [SEP] 고기 사줌? [SEP] 
"[2, 724, 3253, 5448, 3, 1257, 2979, 5955, 360, 2930, 5749, 3097, 5855, 3, 5]","[2, 5965, 3122, 2186, 3572, 3, 6099, 5797, 1704, 3063, 3, 5]","[2, 5459, 6099, 7669, 6284, 134, 3, 5]","[2, 5562, 6099, 7669, 6284, 3, 123, 123, 123, 123, 123, 3, 6566, 326, 2944, 2965, 3, 6099, 1525, 3700, 134, 3, 5]","[2, 260, 7529, 2977, 3, 5736, 5838, 3, 5]",걍 오지마 [SEP] 거기 살아 [SEP] 
"[2, 5965, 3122, 2186, 3572, 3, 6099, 5797, 1704, 3063, 3, 5]","[2, 5459, 6099, 7669, 6284, 134, 3, 5]","[2, 5562, 6099, 7669, 6284, 3, 123, 123, 123, 123, 123, 3, 6566, 326, 2944, 2965, 3, 6099, 1525, 3700, 134, 3, 5]","[2, 260, 7529, 2977, 3, 5736, 5838, 3, 5]","[2, 5459, 6611, 7288, 3, 268, 5615, 3, 5]",나도 그러고 싶은데 [SEP] 건 아니야 [SEP] 
"[2, 5459, 6099, 7669, 6284, 134, 3, 5]","[2, 5562, 6099, 7669, 6284, 3, 123, 123, 123, 123, 123, 3, 6566, 326, 2944, 2965, 3, 6099, 1525, 3700, 134, 3, 5]","[2, 260, 7529, 2977, 3, 5736, 5838, 3, 5]","[2, 5459, 6611, 7288, 3, 268, 5615, 3, 5]","[2, 6271, 6814, 724, 2941, 2744, 5995, 2925, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1974, 3227, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]",친구가 보낸 닥터 플레이어[독점연재] 이용권 (선물)이 도착했어요! 카카오페이지에서 함께 즐겨요~  [SEP] 친구가 보낸 운빨 [독점연재] 이용권 (선물)이 도착했어요! 카카오페이지에서 함께 즐겨요~  [SEP] 
"[2, 5562, 6099, 7669, 6284, 3, 123, 123, 123, 123, 123, 3, 6566, 326, 2944, 2965, 3, 6099, 1525, 3700, 134, 3, 5]","[2, 260, 7529, 2977, 3, 5736, 5838, 3, 5]","[2, 5459, 6611, 7288, 3, 268, 5615, 3, 5]","[2, 6271, 6814, 724, 2941, 2744, 5995, 2925, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1974, 3227, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5794, 7838, 3, 5588, 3005, 2773, 3, 5895, 3005, 5668, 3, 5]",집에 있으니까 [SEP] 공부도 함 [SEP] 영화도 보고 [SEP] 
"[2, 260, 7529, 2977, 3, 5736, 5838, 3, 5]","[2, 5459, 6611, 7288, 3, 268, 5615, 3, 5]","[2, 6271, 6814, 724, 2941, 2744, 5995, 2925, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1974, 3227, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5794, 7838, 3, 5588, 3005, 2773, 3, 5895, 3005, 5668, 3, 5]","[2, 5464, 6251, 134, 3, 5]",그래ㅛ어? [SEP] 
"[2, 5459, 6611, 7288, 3, 268, 5615, 3, 5]","[2, 6271, 6814, 724, 2941, 2744, 5995, 2925, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1974, 3227, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5794, 7838, 3, 5588, 3005, 2773, 3, 5895, 3005, 5668, 3, 5]","[2, 5464, 6251, 134, 3, 5]","[2, 5522, 5620, 5895, 2952, 3, 5]",존나 열심히 영화봄 [SEP] 
"[2, 6271, 6814, 724, 2941, 2744, 5995, 2925, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 6271, 6814, 1974, 3227, 139, 798, 3377, 3128, 3282, 140, 7677, 3419, 5962, 2970, 6002, 7345, 119, 7310, 5469, 7632, 7027, 2957, 169, 3, 5]","[2, 5794, 7838, 3, 5588, 3005, 2773, 3, 5895, 3005, 5668, 3, 5]","[2, 5464, 6251, 134, 3, 5]","[2, 5522, 5620, 5895, 2952, 3, 5]","[2, 5588, 3244, 5522, 5620, 5745, 5448, 3, 5]",공부를 존나 열심히 해야지ㅋㅋㅋ [SEP] 
"[2, 5794, 7838, 3, 5588, 3005, 2773, 3, 5895, 3005, 5668, 3, 5]","[2, 5464, 6251, 134, 3, 5]","[2, 5522, 5620, 5895, 2952, 3, 5]","[2, 5588, 3244, 5522, 5620, 5745, 5448, 3, 5]","[2, 555, 2425, 3743, 2970, 5688, 3048, 3, 5]",내 취향이 아닌듯 [SEP] 
"[2, 5464, 6251, 134, 3, 5]","[2, 5522, 5620, 5895, 2952, 3, 5]","[2, 5588, 3244, 5522, 5620, 5745, 5448, 3, 5]","[2, 555, 2425, 3743, 2970, 5688, 3048, 3, 5]","[2, 6308, 6712, 3, 5588, 2425, 3743, 3055, 5516, 1863, 3151, 3, 5]",걱정하지마 [SEP] 공부 취향인 사람 없오 [SEP] 
"[2, 5522, 5620, 5895, 2952, 3, 5]","[2, 5588, 3244, 5522, 5620, 5745, 5448, 3, 5]","[2, 555, 2425, 3743, 2970, 5688, 3048, 3, 5]","[2, 6308, 6712, 3, 5588, 2425, 3743, 3055, 5516, 1863, 3151, 3, 5]","[2, 5490, 5589, 5448, 3, 6, 6526, 3, 5531, 2067, 3063, 3, 5]",그러겠짘ㅋㅋㅋ [SEP] 희정이가 [SEP] 친구 잃음 [SEP] 
"[2, 5588, 3244, 5522, 5620, 5745, 5448, 3, 5]","[2, 555, 2425, 3743, 2970, 5688, 3048, 3, 5]","[2, 6308, 6712, 3, 5588, 2425, 3743, 3055, 5516, 1863, 3151, 3, 5]","[2, 5490, 5589, 5448, 3, 6, 6526, 3, 5531, 2067, 3063, 3, 5]","[2, 1267, 5646, 5447, 3, 5]",뭐했는데ㅋㅋ [SEP] 
"[2, 555, 2425, 3743, 2970, 5688, 3048, 3, 5]","[2, 6308, 6712, 3, 5588, 2425, 3743, 3055, 5516, 1863, 3151, 3, 5]","[2, 5490, 5589, 5448, 3, 6, 6526, 3, 5531, 2067, 3063, 3, 5]","[2, 1267, 5646, 5447, 3, 5]","[2, 1907, 3481, 5947, 2931, 2791, 6826, 3, 7356, 2960, 1907, 3481, 3067, 5474, 6166, 2921, 3, 6971, 1795, 4392, 5479, 233, 2925, 3, 5]",예매 했어야 했는디 [SEP] 까먹고 예매안하고 있다가 [SEP] 너랑 안논다고 갔어 [SEP] 
"[2, 6308, 6712, 3, 5588, 2425, 3743, 3055, 5516, 1863, 3151, 3, 5]","[2, 5490, 5589, 5448, 3, 6, 6526, 3, 5531, 2067, 3063, 3, 5]","[2, 1267, 5646, 5447, 3, 5]","[2, 1907, 3481, 5947, 2931, 2791, 6826, 3, 7356, 2960, 1907, 3481, 3067, 5474, 6166, 2921, 3, 6971, 1795, 4392, 5479, 233, 2925, 3, 5]","[2, 5536, 2999, 6751, 3, 5]",그럴만 했다 [SEP] 
"[2, 5490, 5589, 5448, 3, 6, 6526, 3, 5531, 2067, 3063, 3, 5]","[2, 1267, 5646, 5447, 3, 5]","[2, 1907, 3481, 5947, 2931, 2791, 6826, 3, 7356, 2960, 1907, 3481, 3067, 5474, 6166, 2921, 3, 6971, 1795, 4392, 5479, 233, 2925, 3, 5]","[2, 5536, 2999, 6751, 3, 5]","[2, 536, 5531, 6013, 3, 5]",나 친구 없음 [SEP] 
"[2, 1267, 5646, 5447, 3, 5]","[2, 1907, 3481, 5947, 2931, 2791, 6826, 3, 7356, 2960, 1907, 3481, 3067, 5474, 6166, 2921, 3, 6971, 1795, 4392, 5479, 233, 2925, 3, 5]","[2, 5536, 2999, 6751, 3, 5]","[2, 536, 5531, 6013, 3, 5]","[2, 1901, 3274, 2970, 5935, 3, 5]",영달이 조져 [SEP] 
"[2, 1907, 3481, 5947, 2931, 2791, 6826, 3, 7356, 2960, 1907, 3481, 3067, 5474, 6166, 2921, 3, 6971, 1795, 4392, 5479, 233, 2925, 3, 5]","[2, 5536, 2999, 6751, 3, 5]","[2, 536, 5531, 6013, 3, 5]","[2, 1901, 3274, 2970, 5935, 3, 5]","[2, 1268, 7394, 2931, 3, 1815, 3111, 1852, 3172, 2849, 3082, 6227, 2960, 3, 5]",뭔 개소리야 [SEP] 애랑 어캐 화해하냐고 [SEP] 
"[2, 5536, 2999, 6751, 3, 5]","[2, 536, 5531, 6013, 3, 5]","[2, 1901, 3274, 2970, 5935, 3, 5]","[2, 1268, 7394, 2931, 3, 1815, 3111, 1852, 3172, 2849, 3082, 6227, 2960, 3, 5]","[2, 7286, 1525, 3002, 3, 5]",맛난거 사줘 [SEP] 
"[2, 536, 5531, 6013, 3, 5]","[2, 1901, 3274, 2970, 5935, 3, 5]","[2, 1268, 7394, 2931, 3, 1815, 3111, 1852, 3172, 2849, 3082, 6227, 2960, 3, 5]","[2, 7286, 1525, 3002, 3, 5]","[2, 1850, 2921, 5950, 1596, 3325, 2965, 5678, 3, 5531, 2067, 3063, 3, 555, 1164, 2932, 3006, 5531, 3055, 3023, 3, 5573, 5729, 2923, 3481, 3, 6944, 5929, 1720, 2960, 3210, 2791, 6826, 3, 5]",얘가 나랑 소통을 안해 [SEP] 친구 잃음 [SEP] 내 마지먹 친구인디 [SEP] 어제 하루때매 [SEP] 2주동안 쌩고생 했는디 [SEP] 
"[2, 1901, 3274, 2970, 5935, 3, 5]","[2, 1268, 7394, 2931, 3, 1815, 3111, 1852, 3172, 2849, 3082, 6227, 2960, 3, 5]","[2, 7286, 1525, 3002, 3, 5]","[2, 1850, 2921, 5950, 1596, 3325, 2965, 5678, 3, 5531, 2067, 3063, 3, 555, 1164, 2932, 3006, 5531, 3055, 3023, 3, 5573, 5729, 2923, 3481, 3, 6944, 5929, 1720, 2960, 3210, 2791, 6826, 3, 5]","[2, 1267, 5646, 5447, 3, 5]",뭐했는데ㅋㅋ [SEP] 
"[2, 1268, 7394, 2931, 3, 1815, 3111, 1852, 3172, 2849, 3082, 6227, 2960, 3, 5]","[2, 7286, 1525, 3002, 3, 5]","[2, 1850, 2921, 5950, 1596, 3325, 2965, 5678, 3, 5531, 2067, 3063, 3, 555, 1164, 2932, 3006, 5531, 3055, 3023, 3, 5573, 5729, 2923, 3481, 3, 6944, 5929, 1720, 2960, 3210, 2791, 6826, 3, 5]","[2, 1267, 5646, 5447, 3, 5]","[2, 7710, 6323, 1707, 1465, 5552, 3, 6855, 2999, 5512, 7456, 6653, 5465, 3, 5]",하루에 할거 싹 뺄려고 [SEP] 그림만 미친듯이 그리니까 [SEP] 
